| Modelo | Prefixo |
| ------ | ------- |
| B737-7 | PR-GEA  |
| B737-7 | PR-GEC  |
| B737-7 | PR-GED  |
| B737-7 | PR-GEH  |
| B737-7 | PR-GEI  |
| B737-7 | PR-GEJ  |
| B737-7 | PR-GEK  |
| B737-7 | PR-GEQ  |
| B737-7 | PR-GIH  |
| B737-7 | PR-GOQ  |
| B737-7 | PR-GOR  |
| B737-7 | PR-VBQ  |
| B737-8 | PR-GGE  |
| B737-8 | PR-GGF  |
| B737-8 | PR-GGH  |
| B737-8 | PR-GGL  |
| B737-8 | PR-GGM  |
| B737-8 | PR-GGP  |
| B737-8 | PR-GGQ  |
| B737-8 | PR-GGR  |
| B737-8 | PR-GGX  |
| B737-8 | PR-GKA  |
| B737-8 | PR-GKB  |
| B737-8 | PR-GKC  |
| B737-8 | PR-GKD  |
| B737-8 | PR-GKE  |
| B737-8 | PR-GTC  |
| B737-8 | PR-GTE  |
| B737-8 | PR-GTG  |
| B737-8 | PR-GTH  |
| B737-8 | PR-GTL  |
| B737-8 | PR-GTM  |
| B737-8 | PR-GUB  |
| B737-8 | PR-GUC  |
| B737-8 | PR-GUE  |
| B737-8 | PR-GUF  |
| B737-8 | PR-GUH  |
| B737-8 | PR-GUI  |
| B737-8 | PR-GUJ  |
| B737-8 | PR-GUK  |
| B737-8 | PR-GUL  |
| B737-8 | PR-GUM  |
| B737-8 | PR-GUN  |
| B737-8 | PR-GUP  |
| B737-8 | PR-GUR  |
| B737-8 | PR-GUT  |
| B737-8 | PR-GUU  |
| B737-8 | PR-GUV  |
| B737-8 | PR-GUX  |
| B737-8 | PR-GUY  |
| B737-8 | PR-GUZ  |
| B737-8 | PR-GXA  |
| B737-8 | PR-GXB  |
| B737-8 | PR-GXC  |
| B737-8 | PR-GXD  |
| B737-8 | PR-GXE  |
| B737-8 | PR-GXH  |
| B737-8 | PR-GXI  |
| B737-8 | PR-GXJ  |
| B737-8 | PR-GXL  |
| B737-8 | PR-GXM  |
| B737-8 | PR-GXN  |
| B737-8 | PR-GXP  |
| B737-8 | PR-GXQ  |
| B737-8 | PR-GXR  |
| B737-8 | PR-GXT  |
| B737-8 | PR-GXU  |
| B737-8 | PR-GXV  |
| B737-8 | PR-GXW  |
| B737-8 | PR-GXX  |
| B737-8 | PR-GYA  |
| B737-8 | PR-GYD  |
| B737-8 | PR-GZH  |
| B737-8 | PR-GZI  |
| B737-8 | PR-GZS  |
| B737-8 | PR-GZU  |
| B737-8 | PR-GZV  |
